zip,donations,total,GEOID,variable,estimate,moe,donations_per_1000
20746,140,2967.6399999999994,20746,B01003_001,28078,1728,4.986110121803548
20747,375,12687.24,20747,B01003_001,39279,1803,9.547086229282824
20748,653,14587.360000000004,20748,B01003_001,40763,2849,16.019429384490838
20751,672,10915.30000000001,20751,B01003_001,2081,396,322.9216722729457
20754,1336,44534.28999999998,20754,B01003_001,7344,1018,181.91721132897604
20755,167,4977.139999999996,20755,B01003_001,10011,991,16.681650184796723
20758,135,4327.030000000003,20758,B01003_001,542,165,249.07749077490777
20759,1027,36052.18999999997,20759,B01003_001,6125,667,167.6734693877551
20762,48,14706.78,20762,B01003_001,3099,395,15.488867376573088
20763,71,3276.5099999999993,20763,B01003_001,2219,748,31.996394772420008
20764,462,12968.499999999998,20764,B01003_001,3280,607,140.85365853658536
20765,522,6221.2599999999975,20765,B01003_001,604,255,864.2384105960265
20769,210,15896.250000000004,20769,B01003_001,6812,1073,30.82795067527892
20770,496,21328.50999999997,20770,B01003_001,28458,673,17.42919389978214
20772,1389,31955.939999999937,20772,B01003_001,52596,2397,26.408852384211727
20774,841,21914.559999999983,20774,B01003_001,51010,2662,16.486963340521466
20776,1963,65721.77000000003,20776,B01003_001,2966,739,661.8341200269724
20777,293,20180.67,20777,B01003_001,3220,494,90.99378881987577
20778,393,16143.259999999997,20778,B01003_001,2564,673,153.2761310452418
20779,125,5277.000000000001,20779,B01003_001,992,354,126.00806451612902
20781,158,10096.329999999998,20781,B01003_001,13299,1385,11.880592525753816
20782,7196,26050.830000000293,20782,B01003_001,34625,1977,207.82671480144404
20783,527,9823.730000000003,20783,B01003_001,50387,2635,10.459046976402645
20784,379,17513.350000000002,20784,B01003_001,32191,1811,11.773477058805257
20785,651,38606.709999999955,20785,B01003_001,41281,1821,15.769966812819458
20794,793,15510.410000000007,20794,B01003_001,16035,1029,49.45431867789211
20812,15,2051.1,20812,B01003_001,282,93,53.191489361702125
20814,2487,202639.16000000053,20814,B01003_001,30234,1563,82.25838460011907
20815,3805,721210.8099999983,20815,B01003_001,31080,1537,122.42599742599742
20816,2495,284897.07999999885,20816,B01003_001,17390,1099,143.4732604945371
20817,3009,522987.4099999978,20817,B01003_001,37795,1489,79.61370551660272
20818,316,18863.17999999999,20818,B01003_001,1787,368,176.83268047006158
20832,3362,114980.55000000096,20832,B01003_001,25488,1217,131.9052102950408
20833,963,30259.05999999992,20833,B01003_001,7949,1026,121.14731412756322
20837,3241,57977.12000000006,20837,B01003_001,6651,315,487.29514358743046
20838,24,941.08,20838,B01003_001,368,162,65.21739130434783
20839,18,512.8499999999999,20839,B01003_001,161,103,111.80124223602485
20841,744,21229.879999999983,20841,B01003_001,9312,1013,79.89690721649484
20842,136,10108.009999999997,20842,B01003_001,1927,340,70.57602490918525
20850,5886,203583.64000000097,20850,B01003_001,51072,1675,115.24906015037594
20851,719,18287.63,20851,B01003_001,14659,1086,49.04836619141824
20852,4380,157263.340000001,20852,B01003_001,48379,2333,90.53514954835775
20853,2626,124813.38000000051,20853,B01003_001,31794,2511,82.59420016355287
20854,12131,944799.1799999998,20854,B01003_001,49320,2280,245.96512570965126
20855,2795,92437.87000000042,20855,B01003_001,16558,1460,168.8005797801667
20860,292,14416.610000000002,20860,B01003_001,2279,525,128.12637121544537
20861,257,11465.850000000008,20861,B01003_001,3031,869,84.79049818541735
20862,70,3784.6399999999976,20862,B01003_001,268,132,261.19402985074623
20866,1219,25807.389999999996,20866,B01003_001,16680,1762,73.08153477218225
20868,122,2218.01,20868,B01003_001,630,327,193.65079365079364
20871,4612,80923.96000000063,20871,B01003_001,27420,1984,168.19839533187456
20872,1755,39932.7499999999,20872,B01003_001,12932,953,135.70986699659758
20874,4528,132768.29000000193,20874,B01003_001,61922,2470,73.12425309260037
20876,3321,59598.96000000026,20876,B01003_001,26572,2086,124.98118320036127
20877,4482,135030.5500000012,20877,B01003_001,38524,1975,116.34305887239124
20878,6764,261582.07000000097,20878,B01003_001,65954,1713,102.55632713709555
20879,1423,46258.66000000008,20879,B01003_001,27489,1961,51.766161009858486
20880,2579,3529.360000000013,20880,B01003_001,604,164,4269.867549668875
20882,2077,55039.370000000104,20882,B01003_001,13962,1090,148.76092250393927
20886,2666,44448.79999999998,20886,B01003_001,34692,2228,76.8476882278335
20889,3,2,20889,B01003_001,158,23,18.9873417721519
20895,1821,84943.84000000029,20895,B01003_001,19273,1272,94.48451201162247
20896,54,6205.740000000002,20896,B01003_001,840,120,64.28571428571428
20901,1373,39357.02999999992,20901,B01003_001,37207,2224,36.9016582901067
20902,2665,111594.10000000116,20902,B01003_001,53308,2181,49.992496435807006
20903,587,24608.239999999972,20903,B01003_001,25324,2283,23.179592481440533
20904,3751,162519.77000000112,20904,B01003_001,56532,2478,66.35180075001769
20905,1413,51927.54000000004,20905,B01003_001,17451,1768,80.96957194430118
20906,5229,113328.51000000157,20906,B01003_001,71560,2542,73.0715483510341
20910,4974,124519.65000000046,20910,B01003_001,45072,1708,110.35676251331203
20912,343,14698.359999999995,20912,B01003_001,25823,1428,13.282732447817837
21001,1059,32703.409999999927,21001,B01003_001,25908,1040,40.87540528022233
21005,51,1740.7099999999998,21005,B01003_001,2703,540,18.867924528301884
21009,5140,66653.2000000004,21009,B01003_001,32565,2153,157.83816981421774
21010,4,76,21010,B01003_001,216,265,18.51851851851852
21012,3137,92377.88000000056,21012,B01003_001,23144,1689,135.5426892499136
21013,1870,51311.059999999954,21013,B01003_001,5382,1023,347.4544778892605
21014,7659,148802.47000000265,21014,B01003_001,37097,1207,206.45874329460602
21015,4943,124358.7200000016,21015,B01003_001,30485,1828,162.14531736919795
21017,616,9860.279999999992,21017,B01003_001,6177,657,99.72478549457665
21023,18,1727.7,21023,B01003_001,68,62,264.70588235294116
21028,651,12705.77,21028,B01003_001,2974,395,218.89710827168796
21029,996,55820.07999999995,21029,B01003_001,13817,1531,72.08511254252008
21030,2511,108375.52000000064,21030,B01003_001,25133,1745,99.90848684995822
21031,3,121.07,21031,B01003_001,26,42,115.38461538461539
21032,2557,106763.8800000004,21032,B01003_001,8040,1015,318.0348258706467
21034,196,4830.949999999999,21034,B01003_001,2958,452,66.26098715348208
21035,1619,105207.05000000032,21035,B01003_001,8360,859,193.6602870813397
21036,128,7781.639999999995,21036,B01003_001,2145,385,59.67365967365967
21037,2560,132253.67000000077,21037,B01003_001,21060,1490,121.55745489078824
21040,1925,35919.79999999996,21040,B01003_001,25110,1503,76.66268418956591
21042,5156,197983.37000000064,21042,B01003_001,42528,1902,121.23777276147479
21043,6185,122321.36000000112,21043,B01003_001,47309,2147,130.7362235515441
21044,2871,89628.98000000049,21044,B01003_001,45100,2073,63.65853658536585
21045,2114,65944.75000000004,21045,B01003_001,40980,1625,51.58613958028307
21046,1732,41757.79999999992,21046,B01003_001,15894,943,108.9719390965144
21047,1600,55999.08000000003,21047,B01003_001,13419,1285,119.23392205082347
21048,1342,54494.54000000002,21048,B01003_001,9759,1013,137.5140895583564
21050,2703,80880.23000000008,21050,B01003_001,18076,1132,149.53529541934057
21051,23,1247.9199999999998,21051,B01003_001,113,95,203.53982300884957
21052,33,576.63,21052,B01003_001,438,259,75.34246575342465
21053,1337,18719.859999999982,21053,B01003_001,3051,680,438.2169780399869
21054,1243,55027.50999999999,21054,B01003_001,15687,2248,79.23758526168164
21056,146,61699,21056,B01003_001,318,225,459.1194968553459
21057,803,30587.21999999996,21057,B01003_001,4530,760,177.2626931567329
21060,2913,77188.22000000016,21060,B01003_001,38418,1871,75.82383257847884
21061,4334,94884.25000000096,21061,B01003_001,55172,2745,78.5543391575437
21071,73,2712.2000000000007,21071,B01003_001,526,276,138.78326996197717
21074,1937,41324.14,21074,B01003_001,15146,1206,127.88855143272151
21075,1098,38737.78999999992,21075,B01003_001,36176,2498,30.351614329942503
